New ID,pro Relationship Start Date,pro Relationship End Date
1857932,09/08/2015,02/22/2017
1857932,02/22/2017,
1864211,04/24/2015,06/18/2015
1865085,08/17/2016,10/24/2016
1870199,09/30/2013,12/13/2013
1897075,04/08/2014,01/02/2015
1897075,01/02/2015,01/02/2015
1897075,01/02/2015,05/12/2015
1897075,05/12/2015,07/10/2015
1897075,10/26/2015,04/21/2016
1897075,04/18/2016,10/07/2016
1897075,10/07/2016,11/23/2016
1897075,11/23/2016,03/03/2017
1897075,03/17/2017,03/30/2017
1897075,03/30/2017,
1899724,11/28/2014,01/23/2015
1905308,06/15/2015,08/20/2015
1905308,10/22/2015,11/23/2015
1905308,11/23/2015,04/06/2016
1905308,04/07/2016,08/04/2016
1905308,08/04/2016,11/03/2016
1905308,11/03/2016,02/02/2017
1913329,08/11/2011,05/18/2012
1913329,05/17/2012,03/26/2013
1917035,02/21/2012,07/12/2012
1917035,04/04/2012,04/04/2012
1917035,07/24/2012,01/07/2013
1919599,12/09/2016,02/07/2017
1925114,10/25/2017,
1928270,05/13/2014,07/03/2014
1937303,04/22/2013,08/06/2013
1937303,09/18/2013,12/13/2013
1937303,09/24/2013,09/24/2013
1939856,06/18/2012,08/20/2012
1942772,02/05/2016,04/13/2016
1942772,01/19/2017,03/01/2017
1942772,03/01/2017,03/01/2017
1942772,03/01/2017,03/17/2017
1942772,07/03/2017,
1943772,02/13/2014,06/13/2014
1943772,06/13/2014,11/04/2015
1947472,04/10/2014,07/18/2014
1947472,07/18/2014,11/30/2015
1947472,11/08/2016,02/14/2017
1947472,01/19/2017,03/01/2017
1948279,02/15/2016,04/28/2016
1951601,03/27/2015,04/10/2015
1951601,04/10/2015,05/20/2015
1951601,05/20/2015,09/14/2015
1951601,09/14/2015,04/14/2016
1951601,04/15/2016,10/05/2016
1951601,10/29/2016,11/09/2016
1951601,11/24/2016,01/20/2017
1951601,01/20/2017,03/14/2017
1951601,08/29/2017,
1957380,10/26/2015,01/25/2016
1960712,03/16/2012,01/31/2013
1983778,01/21/2014,02/20/2014
1983778,02/20/2014,08/15/2014
1983778,08/15/2014,11/16/2015
1983778,11/16/2015,11/16/2015
1983778,11/16/2015,10/18/2016
1983778,10/06/2016,02/22/2017
1983778,02/22/2017,
1984389,12/09/2013,03/31/2014
2015380,04/11/2013,05/08/2013
2015554,07/07/2017,
2016379,07/06/2016,08/15/2016
2017535,02/24/2015,03/23/2015
2018805,08/25/2011,07/16/2012
2018805,07/16/2012,02/17/2015
2034828,11/01/2010,07/16/2012
2034828,07/16/2012,06/08/2013
2034828,06/18/2013,08/27/2015
2034828,08/27/2015,04/22/2016
2034828,04/22/2016,03/14/2017
2034828,03/14/2017,
2038588,10/23/2017,
2045970,10/25/2017,
2055614,11/27/2015,02/08/2016
2055614,06/17/2016,06/17/2016
2055614,06/17/2016,09/02/2016
2055614,02/07/2017,03/01/2017
2055614,03/01/2017,03/06/2017
2072855,08/03/2012,12/03/2012
2072855,12/03/2012,03/28/2013
2072855,03/28/2013,03/07/2014
2072855,03/07/2014,07/17/2014
2072855,07/21/2014,06/16/2015
2072855,06/16/2015,05/20/2016
2072855,05/25/2016,11/09/2016
2072855,07/06/2016,07/06/2016
2072855,11/09/2016,
2073856,09/17/2015,10/29/2015
2073856,10/29/2015,06/27/2016
2081053,03/20/2012,06/15/2012
2081053,06/30/2015,10/02/2015
2125888,03/13/2015,03/19/2015
2125888,03/19/2015,03/30/2015
2140565,03/26/2013,06/16/2016
2140565,06/16/2016,10/10/2016
2149969,12/22/2015,04/14/2016
2149969,08/20/2016,10/10/2016
2155425,01/11/2011,01/25/2013
2155667,06/21/2012,08/29/2012
2174557,05/12/2014,06/18/2014
2174557,06/18/2014,08/10/2015
2174557,08/05/2015,04/21/2016
2174557,04/21/2016,03/14/2017
2174557,03/14/2017,03/30/2017
2174557,06/05/2017,
2176307,11/14/2011,08/09/2012
2179932,02/26/2015,04/18/2015
2179932,04/18/2015,05/14/2015
2179932,05/14/2015,06/23/2015
2179932,06/23/2015,06/29/2015
2179932,06/29/2015,05/04/2016
2198079,09/15/2015,11/23/2015
2202391,05/09/2016,09/23/2016
2204447,07/15/2013,09/01/2014
2209073,10/06/2017,
2210056,01/28/2013,05/01/2013
2215363,09/20/2011,06/14/2013
2215363,06/14/2013,10/27/2014
2215363,09/10/2014,06/12/2015
2215363,05/13/2016,07/29/2016
2215363,09/16/2016,12/04/2016
2215762,02/19/2015,04/20/2015
2215762,04/20/2015,05/28/2015
2215762,05/28/2015,03/02/2017
2215762,03/02/2017,03/07/2017
2226430,01/20/2009,07/16/2012
2226430,07/16/2012,03/27/2013
2233057,07/02/2014,07/14/2014
2240298,10/05/2015,01/31/2017
2240421,09/06/2013,03/18/2014
2240639,12/28/2016,03/20/2017
2240639,03/23/2017,03/23/2017
2272386,01/15/2013,02/21/2013
2276531,07/24/2014,09/29/2014
2276531,06/22/2017,
2276568,08/25/2016,10/11/2016
2276568,08/06/2017,
2278505,12/23/2015,02/17/2016
2278505,10/23/2017,
2291739,01/12/2015,03/13/2015
2294039,12/22/2010,07/16/2012
2294039,07/16/2012,09/11/2012
2294039,01/10/2013,02/22/2017
2294039,02/22/2017,
2302805,01/22/2015,03/03/2015
2305963,10/23/2017,
2309145,01/04/2017,03/01/2017
2309145,03/01/2017,03/02/2017
2333879,10/23/2017,
2335276,09/20/2010,07/16/2012
2335276,07/16/2012,01/26/2015
2335276,01/26/2015,03/10/2016
2335276,03/10/2016,12/14/2016
2335276,12/14/2016,01/31/2017
2335276,01/31/2017,02/22/2017
2335276,09/20/2017,
2345135,02/25/2014,06/19/2014
2345135,12/03/2014,05/19/2016
