"New ID","Placement start","Placement type","Legal status"
56360779,09/03/2014,"U6","C1"
56432886,03/23/2016,"U6","C1"
56487556,11/17/2014,"U6","V2"
56645289,12/04/2013,"Q2","C1"
56823404,01/16/2014,"H5","V2"
57191059,10/04/2013,"Q2","V2"
57191059,01/27/2015,"H5","V2"
57197314,12/11/2013,"Q2","L1"
57279364,06/13/2013,"K2","V2"
57350731,07/30/2014,"U6","V2"
57393313,12/19/2015,"R2","L1"
57582068,07/05/2013,"Q2","L1"
57652333,12/21/2012,"Q2","C1"
57664983,06/27/2014,"U6","L1"
57664983,10/17/2014,"U6","V2"
57980694,01/27/2016,"U6","V2"
58003314,05/19/2015,"K1","J1"
58190993,09/11/2014,"U6","L1"
58430172,08/01/2016,"U6","V2"
58432484,06/09/2015,"U6","L1"
58558473,09/04/2015,"U6","V2"
58904529,12/20/2012,"Q1","V2"
59142169,05/14/2013,"Q2","V2"
59213162,06/06/2014,"U6","V2"
59376784,03/18/2014,"R5","J1"
59376784,07/28/2015,"H5","V2"
59416022,12/11/2015,"U6","L1"
59451634,01/24/2016,"U3","L1"
59451634,04/29/2016,"U6","V2"
59693702,09/25/2014,"U6","C1"
59695507,08/02/2012,"Q2","L1"
59719708,08/05/2015,"U6","C1"
59736194,06/27/2014,"U6","L1"
59736194,10/17/2014,"U6","V2"
59891386,05/07/2013,"Q2","L1"
60052811,12/02/2014,"U6","V2"
60211657,03/19/2013,"H5","V2"
60459188,08/02/2012,"Q2","L1"
60459446,04/11/2014,"P1","J1"
60459446,09/03/2014,"K1","J1"
60498451,12/12/2013,"R5","J1"
60498451,05/15/2014,"K1","J1"
60565552,06/21/2012,"R3","C1"
61003691,10/28/2013,"K2","V2"
61004580,06/24/2014,"U6","L1"
61112833,01/08/2014,"R2","C1"
61112833,05/12/2015,"U6","C1"
61276505,12/20/2013,"R2","C1"
61300636,03/02/2016,"U6","L1"
61344656,08/24/2013,"Q2","L1"
61344656,07/21/2016,"H5","J1"
61563564,01/06/2016,"U6","L1"
61660993,03/02/2016,"U6","L1"
61746448,04/24/2014,"U6","L1"
62062764,11/28/2014,"U6","L1"
62216439,11/27/2015,"U6","L1"
62369905,06/11/2014,"R2","V2"
62369905,06/09/2015,"U6","V2"
62369905,07/08/2015,"U6","V2"
62431598,09/11/2014,"U6","L1"
62481068,05/16/2014,"K2","V2"
62643890,06/23/2015,"U6","V2"
62746411,11/04/2013,"Q2","L1"
62749001,10/10/2013,"H5","V2"
62807823,06/18/2013,"H5","V2"
62849004,02/05/2015,"U6","V2"
62921170,10/16/2015,"H5","V2"
62923365,09/15/2016,"U6","V2"
62955426,09/09/2013,"H5","V2"
63586754,02/09/2017,"U3","V2"
63695066,11/15/2016,"U6","V2"
63723885,06/08/2012,"Q2","L1"
63851927,06/13/2012,"Q2","C1"
64087860,07/14/2014,"K1","J1"
64087860,10/14/2014,"K1","J1"
64129609,09/09/2014,"U6","V2"
64207080,03/07/2016,"K2","V2"
64270192,08/05/2013,"M3","J1"
64283025,05/08/2012,"H5","V2"
64397649,10/17/2016,"U6","V2"
64446990,04/23/2014,"U6","C1"
64619281,05/02/2014,"R2","C1"
65040987,01/16/2015,"H5","V2"
65113781,01/07/2013,"R5","J1"
65184076,07/25/2012,"Q1","V2"
65196763,04/30/2014,"U3","V2"
65268995,09/13/2015,"U6","L1"
65339052,09/29/2012,"Q2","L1"
65339052,02/04/2015,"H5","V2"
66143485,07/31/2013,"Q2","V2"
66337554,03/20/2013,"H5","V2"
66603223,11/29/2012,"H5","V2"
66796920,06/01/2012,"K1","J1"
66796920,02/13/2013,"K2","V2"
66796920,09/06/2013,"H5","V2"
67001119,07/02/2013,"Q2","V2"
67078388,08/08/2014,"U3","V2"
67201579,05/26/2016,"H5","V2"
67245636,02/29/2016,"R2","C1"
67296657,07/02/2012,"Q2","V2"
67434264,05/30/2014,"U6","L1"
67497371,11/19/2015,"U6","L1"
67563898,03/15/2017,"U6","C1"
67624568,06/07/2013,"Q2","V2"
67624568,02/06/2014,"Q2","C1"
67635659,12/29/2012,"Q2","V2"
67635659,02/21/2013,"Q2","L1"
67635659,06/14/2013,"Q2","C1"
67635659,06/11/2014,"U6","V2"
67635659,09/08/2014,"U6","V2"
67635659,09/15/2015,"U6","L1"
67649060,04/30/2013,"H5","V2"
67724138,12/03/2012,"Q2","V2"
67724138,06/16/2013,"Q2","V2"
68047569,01/02/2013,"Q1","L1"
68092407,06/08/2012,"P1","J1"
68092407,12/21/2012,"P1","J1"
68159652,10/03/2014,"U6","L1"
